,account_hash,close_flags,close_time,close_time_resolution,ledger_hash,ledger_index,parent_close_time,parent_hash,total_coins,transaction_hash,tx_count,close_time_human,close_time_difference
0,76AD5E7CC6599E13D319FEEA8DCE6311C8689660B05954C783EDEB4496C7825F,0,1571357402,10,4294319D7EBF986BB5E1E5E6FD5A11CCA3B0B70E1B637225349F46FF36C28A4E,50780395,1571357401,24DB32CBC1455F09DF37F447F8B0A56DAFB20FB42D317955FEF66FD351D2FC0B,9.99913E+16,6DB57A5E814337F9A140AA2B60C41CB6646070B12D6CAEFF7ABD4EC4C434EFC9,30,2019-Oct-18 00:10:02,1
0,93251625D4CA2128D257349E6509074465BE12F31709428DB2FCD320B6693E16,0,1571357410,10,D0E66A52110C2593E27671F7267868E5166B542370A3AABD028E3691039422B3,50780396,1571357402,4294319D7EBF986BB5E1E5E6FD5A11CCA3B0B70E1B637225349F46FF36C28A4E,9.99913E+16,848B4648C2EC27178AAE9FE5B60F38AE7F324E137441D4A27E2FF114D9EC6C3B,41,2019-Oct-18 00:10:10,8
0,50235E95A716B32305CA71605389FB21D419F11E02BB1FF9CAC0481CFDE8F56A,0,1571357411,10,4E09141F6B8443A888D35C990600F2BF681AFF592FBE3EC39A43B6DD771B1F4C,50780397,1571357410,D0E66A52110C2593E27671F7267868E5166B542370A3AABD028E3691039422B3,9.99913E+16,821BFB8F5EF34EDFE27A268688CEFBDFBE19C4AFBDF653927B462A15ADA361E1,32,2019-Oct-18 00:10:11,1
0,F7AFF61A648E17461B30AA2BDFE0FF23321DE9B62D27284B5353C6EA511E5C69,0,1571357420,10,3B27740C7E213201EBEF7E28A34CE31353D253C400D3E929E4322C8D9CF72371,50780398,1571357411,4E09141F6B8443A888D35C990600F2BF681AFF592FBE3EC39A43B6DD771B1F4C,9.99913E+16,F3BFFD913601907C97EDFFFB2865F5CE016A964BF959794994639A789B7CA766,38,2019-Oct-18 00:10:20,9
0,254133C05E6C64A191F690A06192B3C7974C2C4936F73D2D61AF0486AF3193CB,0,1571357421,10,69629DF292E092F9A4D0FD57FC8932E7A50EC23F78ECF8CAE26D59CBC0F3888B,50780399,1571357420,3B27740C7E213201EBEF7E28A34CE31353D253C400D3E929E4322C8D9CF72371,9.99913E+16,A24F0BF389D70A10A4F73C3AB9DC474EE79216EC9E40117F73AB49830BCDC589,39,2019-Oct-18 00:10:21,1
0,B73C14B9AD7F1FE1AF2E715917B7A58DC1B1E0CAED4822BD8EE7B6070A287BA9,0,1571357422,10,040D693E79F322FC23A2FD7E61E6C3EBBEB21F932DCCC7E2FD41B81233B58766,50780400,1571357421,69629DF292E092F9A4D0FD57FC8932E7A50EC23F78ECF8CAE26D59CBC0F3888B,9.99913E+16,389C7CD09BEFAEFF331D90DABB801B9E66EB65FB31A03DA6BF53CA1789DDBF2E,33,2019-Oct-18 00:10:22,1
0,3AFDC2CC223A62018E926E0282BF0FFE89A1E6BE98884BB42CDBA15F3D74D749,0,1571357430,10,ECD5B4900D7FE25F2FEAA640C5FA88B8AAAFFD77F044DA5C059DEDC7D4220926,50780401,1571357422,040D693E79F322FC23A2FD7E61E6C3EBBEB21F932DCCC7E2FD41B81233B58766,9.99913E+16,98ED0CE39908CC8EA711384842C19AC79E46F2927448EE5632AC663E163C32DD,57,2019-Oct-18 00:10:30,8
0,AEFEE6F84B20E192ECD3AF41D65F800C7DAB48C44326CA3B488D6327CCD4F856,0,1571357431,10,43640B28A42F68E6B802E6EDAFB21F7D7161788F22B29E5E8CB2EB93F26D0028,50780402,1571357430,ECD5B4900D7FE25F2FEAA640C5FA88B8AAAFFD77F044DA5C059DEDC7D4220926,9.99913E+16,5881ADDC8BDC1AD246CFE91C0F3E68E2430459C4F5EAC186926E006E5FFDF5A9,34,2019-Oct-18 00:10:31,1
0,F62A22C1FA747F389414D6CD9DCFC4DB12C3BF588727F9481BFA22B65608E1D8,0,1571357432,10,978C713AD44F5E1562B4CD49B01BC98F047BCCF51C14ACD758F773067CB01629,50780403,1571357431,43640B28A42F68E6B802E6EDAFB21F7D7161788F22B29E5E8CB2EB93F26D0028,9.99913E+16,5DCA175B080547D5CB2EFBB93AAD02CCB567537BC9E4AE88B0F58057DCFE5D97,32,2019-Oct-18 00:10:32,1
0,DF852A61B18AAA9DCCF7137142D8F4E73775D80C7DC510FD1F414A1999CBD751,0,1571357440,10,D5C1832F9EC4CFE0242AA8496D02A0C2A799C5AD2FE77154153488D0834BC4DA,50780404,1571357432,978C713AD44F5E1562B4CD49B01BC98F047BCCF51C14ACD758F773067CB01629,9.99913E+16,7B4CF4EC811D3B02C52219C683C84F1EE029100B337858BB9B9F28963B6475DA,36,2019-Oct-18 00:10:40,8
0,DEF13BB0AE5586B809D193243AB358E4E049FDD1AB839BA1B9308FAFF96F7EB5,0,1571357441,10,E7EFC13F069306D33C32A31D079D44663B372EC885C32EA4B41F801A5BEB1329,50780405,1571357440,D5C1832F9EC4CFE0242AA8496D02A0C2A799C5AD2FE77154153488D0834BC4DA,9.99913E+16,56F2CE23C8A14F6C0947598784A6EF7728469E4AF1145255967EC2270E28F383,37,2019-Oct-18 00:10:41,1
0,65BD8C85B2AB1274DA3C168CCE3DC9A1B70B92737F59D9C5B8844FE66F47F486,0,1571357450,10,013104874D8F8432FB69A5BC3D65F108D9AC90A944D6DCE1A37AA2FF640ABE5B,50780406,1571357441,E7EFC13F069306D33C32A31D079D44663B372EC885C32EA4B41F801A5BEB1329,9.99913E+16,7C7354A4A07E5BFC3E607DF0810E02FDB7B99BF64A1DDA502368507A5719553F,34,2019-Oct-18 00:10:50,9
